Time resolution is 1 ps
Time=465000 | PC=80000024 | Inst(ID)=fec180ef | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=1
Time=475000 | PC=80000018 | Inst(ID)=00000000 | WB_Reg= 2 | WB_Data=00000002 | LED=25 | Stall=0 | Flush=0
Time=485000 | PC=8000001c | Inst(ID)=00110113 | WB_Reg=29 | WB_Data=00000001 | LED=25 | Stall=0 | Flush=0
Time=495000 | PC=80000020 | Inst(ID)=fe411ee3 | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=505000 | PC=80000024 | Inst(ID)=fec180ef | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=515000 | PC=80000028 | Inst(ID)=xxxxxxxx | WB_Reg= 2 | WB_Data=00000003 | LED=25 | Stall=0 | Flush=1
Time=525000 | PC=8000000c | Inst(ID)=00000000 | WB_Reg=29 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=535000 | PC=80000010 | Inst(ID)=0011a023 | WB_Reg= 1 | WB_Data=80000024 | LED=25 | Stall=0 | Flush=0
Time=545000 | PC=80000014 | Inst(ID)=00108093 | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=555000 | PC=80000018 | Inst(ID)=00000113 | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=565000 | PC=8000001c | Inst(ID)=00110113 | WB_Reg= 0 | WB_Data=80000000 | LED=25 | Stall=0 | Flush=0
Time=575000 | PC=80000020 | Inst(ID)=fe411ee3 | WB_Reg= 1 | WB_Data=80000025 | LED=25 | Stall=0 | Flush=0
Time=585000 | PC=80000024 | Inst(ID)=fec180ef | WB_Reg= 2 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=1
Time=595000 | PC=80000018 | Inst(ID)=00000000 | WB_Reg= 2 | WB_Data=00000001 | LED=25 | Stall=0 | Flush=0
Time=605000 | PC=8000001c | Inst(ID)=00110113 | WB_Reg=29 | WB_Data=00000001 | LED=25 | Stall=0 | Flush=0
Time=615000 | PC=80000020 | Inst(ID)=fe411ee3 | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=625000 | PC=80000024 | Inst(ID)=fec180ef | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=1
Time=635000 | PC=80000018 | Inst(ID)=00000000 | WB_Reg= 2 | WB_Data=00000002 | LED=25 | Stall=0 | Flush=0
Time=645000 | PC=8000001c | Inst(ID)=00110113 | WB_Reg=29 | WB_Data=00000001 | LED=25 | Stall=0 | Flush=0
Time=655000 | PC=80000020 | Inst(ID)=fe411ee3 | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=665000 | PC=80000024 | Inst(ID)=fec180ef | WB_Reg= 0 | WB_Data=00000000 | LED=25 | Stall=0 | Flush=0
Time=675000 | PC=80000028 | Inst(ID)=xxxxxxxx | WB_Reg= 2 | WB_Data=00000003 | LED=25 | Stall=0 | Flush=1
